,s_artist_id,name,popularity,followers,genre_0,genre_1,genre_2,genre_3,genre_4,genre_5,genre_6,genre_7,genre_8,genre_9,genre_10,genre_11,genre_12,genre_13,genre_14,genre_15,genre_16,genre_17,genre_18
83,1enLi8njBlk1YlDg44MtJm,Allan Sherman,29,3027.0,'comic',,,,,,,,,,,,,,,,,,
103,1KrDd8tfcITeBIHGXXIx4s,Andrew Dice Clay,34,9744.0,'comedy',,,,,,,,,,,,,,,,,,
218,1sCa5KANHoHo4NuGextoI9,Bill Engvall,46,28903.0,'comedy', 'comic',,,,,,,,,,,,,,,,,
272,49mU7Sl98U8MkECsd6zVq0,Bob Newhart,24,4682.0,'comedy', 'comic',,,,,,,,,,,,,,,,,
393,0TorzrcTerTn7l5q9LVjmt,Cheech & Chong,33,15403.0,'comic',,,,,,,,,,,,,,,,,,
502,6RAiPa076RxBeTBxWO8Xfh,Dane Cook,51,75251.0,'comedy', 'comic',,,,,,,,,,,,,,,,,
567,1dHjpeh9OKBf1Jfg8dmO1T,Denis Leary,36,12962.0,'comedy', 'comic',,,,,,,,,,,,,,,,,
656,1Zq8pfBl4ejCMrWdeAdphc,Eddie Murphy,49,40030.0,'comedy',,,,,,,,,,,,,,,,,,
807,5alRKXufstWwyHsyQbpi9n,George Carlin,49,57218.0,'comedy', 'comic',,,,,,,,,,,,,,,,,
1002,7zOcRYg1BYXpwr71XTWNr7,Jeff Foxworthy,45,25315.0,'comedy', 'comic',,,,,,,,,,,,,,,,,
1015,4eQeZFlDU3froIAkzS6vnC,Jerry Seinfeld,24,18730.0,'comedy',,,,,,,,,,,,,,,,,,
1214,2iVKGetYUZQElKZKWECyF4,Larry The Cable Guy,43,27684.0,'comedy', 'comic',,,,,,,,,,,,,,,,,
1742,0zokIKbH4c7crvZP9Xel1Y,Richard Pryor,41,39967.0,'comedy', 'comic',,,,,,,,,,,,,,,,,
1779,4OrieSJUghNfNx5UuPCgxF,Robin Williams,53,88609.0,'comedy', 'comic',,,,,,,,,,,,,,,,,
1793,1xlkcCr7PNHw2dRG1Gm6YF,Ron White,42,30913.0,'comedy', 'comic',,,,,,,,,,,,,,,,,
1825,39DCa96o1cTaN0uxasrhk1,Sam Kinison,28,8251.0,'comedy',,,,,,,,,,,,,,,,,,
1924,5ugjlc51azqrMoBLLbOnIg,The Smothers Brothers,20,2938.0,'comic',,,,,,,,,,,,,,,,,,
1975,1Bd4UVlqlaKEXYRG3wgrCK,Steve Martin,43,29265.0,'comedy', 'comic', 'progressive bluegrass',,,,,,,,,,,,,,,,
2154,7r0Otd9dEStSVIxJ02ml5a,The Simpsons,29,13117.0,'comic',,,,,,,,,,,,,,,,,,
2208,5iNvbRVX9W8t1RpD2SHpAO,Tom Lehrer,39,21995.0,'comic',,,,,,,,,,,,,,,,,,
2387,2v7Q2VJ6Xo1rwwhfJ6piQw,Bob Rivers,24,4705.0,'comic',,,,,,,,,,,,,,,,,,
2442,0NnoRcD3WkqC9aouHyE8YY,Trey Parker,35,2715.0,'comic',,,,,,,,,,,,,,,,,,
